Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mHR,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Aaron Nola ","PHI","SP",200.19000244140625,180.677,-14.65455957051613,-4.578764259050935,7.447730748477847,-14.20399809994859,-25.989591181037802,17.438467205185578,-7.551123975852228,"Aaron Nola","16149",605400
"David Peterson ","NYM","SP",369.44000244140625,169.662,-3.7914012457951416,-21.317213094756482,4.825301930452898,-5.710475816902725,-25.993788227001446,17.438467205185578,-7.555321021815871,"David Peterson","20302",656849
"Taylor Rogers ","MIN","RP",726.5800170898438,61,-4.556640324515084,-7.7062679771186575,-4.010601001780549,3.532569832933715,-12.740939470480578,4.116523579825635,-7.624415890654943,"Taylor Rogers","13449",573124
"Ryne Stanek ","STL","RP",714.3099975585938,59,-4.916216185154764,-6.689670574053303,-4.257444518186672,3.0935802168316675,-12.769751060563069,4.116523579825635,-7.653227480737435,"Ryne Stanek","15947",592773
"PJ Poulin ","WSN","RP",744.8900146484375,61,-3.7802420914777497,-7.981106173637768,-4.70428646076725,3.6747778899067205,-12.790856835976047,4.116523579825635,-7.674333256150412,"PJ Poulin","23394",676571
"Graham Ashcraft ","CIN","RP",718.1400146484375,65,-5.116207312248392,-5.9566989285536645,-4.634387955346118,2.902618106966722,-12.80467608918145,4.116523579825635,-7.688152509355817,"Graham Ashcraft","27552",668933
"Brandon Eisert ","CHW","RP",999,60,-4.6717338989682675,-6.4064885233942785,-4.705772756159325,2.9152880447669163,-12.86870713375495,4.116523579825635,-7.752183553929319,"Brandon Eisert","27668",685126
"Joel Payamps ","ATL","RP",999,53,-5.671531953774611,-5.331387283164292,-5.535062629515304,3.6587628832122543,-12.879218983241953,4.116523579825635,-7.762695403416318,"Joel Payamps","14332",606303
"Matthew Boyd ","CHC","SP",226.3300018310547,173.75,-12.2672896277825,-7.377615551995584,5.5064404911903235,-12.077499959776816,-26.21596464836458,17.438467205185578,-7.777497443179001,"Matthew Boyd","15440",571510
"Bryce Elder ","ATL","SP",680.6699829101562,73.5908,-11.4886597011565,-12.099047081639917,-4.291732543454986,1.5659886053597534,-26.313450720891648,17.438467205185578,-7.87498351570607,"Bryce Elder","27779",693821
"Shota Imanaga ","CHC","SP",176.05999755859375,152.374,-15.653532952086014,-0.39472881818304895,3.670217749469473,-13.945398610043554,-26.323442630843143,17.438467205185578,-7.884975425657565,"Shota Imanaga","33829",684007
"Jordan Hicks ","BOS","RP",999,58,-4.465242391104411,-8.441653132359262,-4.9120139358024675,4.810109932243292,-13.00879952702285,4.116523579825635,-7.892275947197216,"Jordan Hicks","19618",663855
"Yuki Matsui ","SDP","RP",999,53,-4.813939710593652,-6.682910983420453,-4.941699176787669,3.3847873861193425,-13.053762484682434,4.116523579825635,-7.937238904856798,"Yuki Matsui","33826",673513
