Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Kyle Finnegan","DET",3,3,0,3.71307,64,0,4,13,,64,271,56,29,26,7,25,,3,64,8.99789,3.53264,2.54707,0.975284,0.236107,0.0926974,0.14340955764055252,0.231602,1.27167,0.286768,0.733117,,,3.85955,0.445857,0.479681,388,,,,,,,357.9,5.5921875,345,5.390625,,,,,,,,,,,,,,,,,,,"Kyle Finnegan","15009",640448
"Seranthony Domínguez",,3,3,0,3.48369,63,0,0,0,,63,267,50,27,24,7,29,,3,72,10.296,4.15288,2.47924,1.01497,0.269933,0.108877,0.1610555350780487,0.212105,1.25226,0.274327,0.757956,,,3.84206,0.443233,0.673183,517.0999755859375,,,,,,,298.1,4.731746031746032,272,4.317460317460317,,,,,,,,,,,,,,,,,,,"Seranthony Dominguez","19249",622554
"Aaron Ashby","MIL",3,3,0,3.39822,64,0,0,13,,64,274,52,26,24,5,33,,3,70,9.77962,4.68118,2.08914,0.729399,0.25381,0.12149,0.13231952488422394,0.217179,1.32601,0.285032,0.753463,,,3.72722,0.436975,0.775973,566.1599731445312,,,,,,,360.90000000000003,5.6390625000000005,339,5.296875,,,,,,,,,,,,,,,,,,,"Aaron Ashby","23550",676879
"Justin Topa","MIN",3,3,0,4.04964,63,0,6,11,,63,271,62,31,28,7,22,,3,54,7.75034,3.17781,2.43889,0.939515,0.200193,0.0820837,0.11810962855815887,0.2522,1.33753,0.299554,0.710163,,,3.96451,0.43678,0.278847,621,,,,,,,325.90000000000003,5.173015873015873,331,5.253968253968254,,,,,,,,,,,,,,,,,,,"Justin Topa","15145",623437
"Juan Mejia","COL",3,3,0,4.37082,66,0,3,14,,66,291,63,35,32,8,31,,3,70,9.57024,4.26622,2.24326,1.09153,0.241175,0.107511,0.13366371393203735,0.247431,1.43533,0.311062,0.715032,,,4.15694,0.435585,0.533018,728,,,,,,,335.2000000000001,5.07878787878788,335,5.075757575757576,,,,,,,,,,,,,,,,,,,"Juan Mejia","23237",675848
"Matt Svanson","STL",3,3,0,3.69882,65,0,6,15,,65,280,59,29,27,6,26,,3,64,8.87395,3.58643,2.47431,0.885799,0.228892,0.0925071,0.13638460636138916,0.236377,1.31151,0.293217,0.734956,,,3.77806,0.434292,0.571597,461.19000244140625,,,,,,,384.80000000000007,5.920000000000001,378,5.815384615384615,,,,,,,,,,,,,,,,,,,"Matt Svanson","29629",694335
"Brad Keller","PHI",4,3,0,3.89739,68,0,2,16,,68,292,61,32,29,7,30,,3,66,8.69348,3.91124,2.22269,0.965587,0.224945,0.101204,0.12374135106801987,0.235324,1.33159,0.288369,0.726783,,,4.04494,0.415929,0.593361,529.7100219726562,,,,,,,365.5,5.375,356,5.235294117647059,,,,,,,,,,,,,,,,,,,"Brad Keller","15734",641745
"Jimmy Herget","COL",4,4,3,4.63504,76,2,2,14,,81,355,83,46,42,13,28,,4,75,8.34216,3.09618,2.69434,1.38974,0.212523,0.0788774,0.13364532589912415,0.256978,1.36478,0.299686,0.698489,,,4.45661,0.409072,0.454181,749.1900024414062,,,,,,,343.7,4.24320987654321,356,4.395061728395062,,,,,,,,,,,,,,,,,,,"Jimmy Herget","17556",623474
"Taylor Rogers","MIN",3,3,0,3.78205,61,0,20,6,,61,261,52,28,26,7,26,,3,64,9.40133,3.90853,2.40534,1.08216,0.244024,0.101451,0.14257269352674484,0.224792,1.28822,0.278553,0.74047,,,4.05478,0.408919,0.60617,746.8699951171875,,,,,,,395.1000000000001,6.47704918032787,379,6.213114754098361,,,,,,,,,,,,,,,,,,,"Taylor Rogers","13449",573124
"Tony Santillan","CIN",4,3,0,4.01267,70,0,4,13,,70,304,60,34,31,10,32,,3,76,9.76424,4.1322,2.36297,1.23875,0.249816,0.105721,0.14409470558166504,0.2247,1.32081,0.277172,0.739148,,,4.27878,0.400466,0.676011,453.05999755859375,,,,,,,358,5.114285714285714,339,4.8428571428571425,,,,,,,,,,,,,,,,,,,"Tony Santillan","19926",663574
"Justin Sterner","ATH",3,3,0,3.95993,65,0,8,10,,65,279,58,31,29,10,24,,3,68,9.36812,3.318,2.82342,1.32686,0.242504,0.0858901,0.1566140130162239,0.228197,1.25364,0.274203,0.7382,,,4.21255,0.399099,0.555812,467.739990234375,,,,,,,342.2,5.264615384615384,330,5.076923076923077,,,,,,,,,,,,,,,,,,,"Justin Sterner","27694",686993
"Ryan Thompson","ARI",3,3,0,3.7957,62,0,2,13,,62,266,59,29,26,6,21,,3,56,8.06564,3.11327,2.59073,0.90706,0.208885,0.0806277,0.12825685739517212,0.243978,1.29734,0.293055,0.723641,,,3.82507,0.397491,0.598296,735.6500244140625,,,,,,,333.5999999999999,5.380645161290321,334,5.387096774193548,,,,,,,,,,,,,,,,,,,"Ryan Thompson","16647",657044
"Anthony Bender","MIA",3,3,0,3.65784,61,0,1,12,,61,262,54,27,25,6,25,,3,62,9.10088,3.68685,2.46847,0.922049,0.235434,0.0953766,0.1400574967265129,0.231283,1.29743,0.288211,0.739622,,,3.81428,0.396799,0.564201,746.969970703125,,,,,,,330.20000000000005,5.413114754098362,320,5.245901639344262,,,,,,,,,,,,,,,,,,,"Anthony Bender","19742",669622
"Aaron Bummer","ATL",3,3,0,3.53328,60,0,0,12,,60,254,54,26,24,5,23,,3,61,9.20607,3.44113,2.6753,0.798789,0.241848,0.0904002,0.15144746005535126,0.2353,1.27687,0.299544,0.73579,,,3.52673,0.388136,0.460425,999,,,,,,,334.1,5.568333333333333,327,5.45,,,,,,,,,,,,,,,,,,,"Aaron Bummer","16258",607481
"Eduard Bazardo","SEA",4,3,0,3.25616,68,0,1,14,,68,286,55,27,25,8,25,,3,74,9.8295,3.31981,2.96086,1.03426,0.259676,0.0877029,0.17197301983833313,0.211736,1.1718,0.266151,0.768255,,,3.68598,0.384676,0.585229,749.8400268554688,,,,,,,386.80000000000007,5.688235294117648,361,5.3088235294117645,,,,,,,,,,,,,,,,,,,"Eduard Bazardo","20997",660825
"Tyler Holton","DET",4,4,0,3.72689,72,0,1,14,,72,304,67,33,30,9,20,,3,63,7.92023,2.55912,3.09491,1.0838,0.208427,0.0673452,0.1410820260643959,0.237556,1.20978,0.278051,0.727529,,,3.92028,0.376181,0.397269,750.3900146484375,,,,,,,365.90000000000015,5.081944444444447,361,5.013888888888889,,,,,,,,,,,,,,,,,,,"Tyler Holton","26231",663947
"Tommy Nance","TOR",3,3,0,3.65338,58,0,0,12,,58,246,54,26,24,6,19,,3,56,8.64607,2.89869,2.98275,0.93439,0.226501,0.0759369,0.15056373924016953,0.23995,1.25205,0.293879,0.730717,,,3.66054,0.372831,0.257677,999,,,,,,,309,5.327586206896552,306,5.275862068965517,,,,,,,,,,,,,,,,,,,"Tommy Nance","19178",667297
"Brusdar Graterol","LAD",3,3,0,3.42586,54,0,0,12,,54,227,48,22,21,5,16,,2,49,8.16525,2.65739,3.07266,0.904156,0.215822,0.0702394,0.1455821841955185,0.23214,1.19272,0.278835,0.738509,,,3.63975,0.370939,0.456754,750.1599731445312,,,,,,,305.3,5.653703703703704,297,5.5,,,,,,,,,,,,,,,,,,,"Brusdar Graterol","20367",660813
"David Morgan","SDP",3,3,0,3.50849,62,0,0,14,,62,267,52,26,24,7,27,,3,68,9.87604,3.94372,2.50425,1.00542,0.254455,0.101609,0.15284567326307297,0.218001,1.27233,0.276024,0.758603,,,3.8513,0.363406,0.594455,747.5499877929688,,,,,,,339.49999999999994,5.475806451612902,321,5.17741935483871,,,,,,,,,,,,,,,,,,,"David Morgan","31616",688158
"Matt Strahm","KCR",3,3,0,4.03479,66,0,1,17,,66,275,59,32,30,10,22,,3,67,9.14229,2.93587,3.11399,1.32218,0.243794,0.07829,0.1655043438076973,0.234091,1.21512,0.281641,0.718679,,,4.12147,0.36078,0.409271,593.7100219726562,,,,,,,344.0000000000001,5.212121212121214,332,5.03030303030303,,,,,,,,,,,,,,,,,,,"Matt Strahm","13799",621381
"Brock Burke","CIN",3,3,0,3.9846,62,0,1,13,,62,263,57,30,27,8,22,,3,57,8.34276,3.22572,2.58632,1.10578,0.218724,0.0845694,0.13415449857711792,0.239619,1.27733,0.285829,0.718136,,,4.08804,0.360025,0.417759,999,,,,,,,308.2,4.970967741935484,302,4.870967741935484,,,,,,,,,,,,,,,,,,,"Brock Burke","17968",656271
"Justin Wilson",,3,2,0,3.8794,50,0,0,0,,50,208,44,24,22,6,19,,2,51,9.13077,3.34367,2.73077,1.03054,0.243877,0.0893073,0.15457001328468323,0.237381,1.26024,0.296088,0.717723,,,3.84303,0.356979,0.242997,999,,,,,,,220.79999999999998,4.4159999999999995,211,4.22,,,,,,,,,,,,,,,,,,,"Justin Wilson","4301",458677
"Mason Englert","TBR",3,3,0,3.70509,60,0,1,12,,60,257,55,27,25,7,19,,3,60,8.93753,2.7883,3.20537,1.12026,0.231842,0.0723293,0.15951310098171234,0.235189,1.2341,0.284384,0.74017,,,3.82722,0.353201,0.317815,999,,,,,,,321.9,5.364999999999999,316,5.266666666666667,,,,,,,,,,,,,,,,,,,"Mason Englert","22288",669438
"Kirby Yates","LAA",3,3,0,3.8799,56,0,6,12,,56,238,45,26,24,7,26,,3,65,10.4791,4.23184,2.47625,1.19911,0.273964,0.110636,0.16332721710205078,0.217649,1.2823,0.27895,0.740526,,,4.09481,0.346588,0.435181,348.1600036621094,,,,,,,332.30000000000007,5.933928571428573,310,5.535714285714286,,,,,,,,,,,,,,,,,,,"Kirby Yates","9073",489446
"Steven Okert","HOU",3,3,0,3.61346,64,0,0,14,,64,271,52,28,26,9,24,,3,73,10.2431,3.38565,3.02544,1.30427,0.268781,0.0888403,0.17994072288274765,0.213067,1.18857,0.263843,0.760946,,,4.00743,0.3449,0.51391,749.6500244140625,,,,,,,348.70000000000005,5.448437500000001,324,5.0625,,,,,,,,,,,,,,,,,,,"Steven Okert","13580",595345
"Brooks Raley","NYM",3,3,0,3.49174,62,0,1,14,,62,266,52,26,24,8,24,,3,66,9.60163,3.42617,2.80244,1.11297,0.248791,0.0887765,0.16001415252685547,0.217861,1.22197,0.268667,0.76105,,,3.88885,0.338523,0.581071,749.4199829101562,,,,,,,337.2,5.438709677419355,318,5.129032258064516,,,,,,,,,,,,,,,,,,,"Brooks Raley","10061",548384
