Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jhancarlos Lara","ATL",0.623918,1.18133,0,4.13848,13.0299,0,0,0.816752,0,13.6688,62.6726,12.0531,6.83192,6.28536,1.41485,9.92909,0.305533,0.914095,14.875,9.79414,6.53762,1.49812,0.93158,0.237344,0.158428,0.07891607284545898,0.232552,1.60819,0.299334,0.75746,,,4.68411,-0.0629611,0.0434991,999,4.21824,-1.73638,1.21458,4.21824,1.73638,3.38056,61.10000000000002,4.364285714285716,58,4.142857142857143,,,,,,,,,,,,,,,,,,,"Jhancarlos Lara","sa3019367",702910
"Cam Sanders","PIT",0.838595,0.68674,0,4.75499,20.903,0,0,0.806592,0.254061,21.7667,97.2893,20.4429,12.5001,11.5,2.80594,12.2211,0.395765,1.28419,20.1295,8.32307,5.05312,1.64711,1.16019,0.206904,0.125616,0.0812879353761673,0.243995,1.50064,0.289849,0.701704,,,4.82276,-0.0640221,-0.114696,999,1.41491,0.489539,1.05767,1.41491,-0.489539,3.58977,78.9,3.5863636363636364,76,3.4545454545454546,,,,,,,,,,,,,,,,,,,"Cam Sanders","23479",676742
"Robinson Ortiz","SEA",1.60119,1.58721,0,4.06949,26.4762,0,0,1.588,0,27.3935,119.459,25.3216,13.4635,12.3864,3.20761,12.9973,0.699277,1.42521,24.9528,8.19813,4.27021,1.91984,1.05384,0.208881,0.108801,0.10008005797863007,0.241074,1.39883,0.287657,0.734754,,,4.41503,-0.0645555,0.000817648,999,1.17167,-0.86948,1.04631,1.17167,0.86948,3.60492,113.9,4.218518518518518,112,4.148148148148148,,,,,,,,,,,,,,,,,,,"Robinson Ortiz","sa3004006",673662
"Dom Hamel","TEX",2.32388,3.09763,1.13528,4.45541,48.2172,4.38823,0,4.75976,0,70.1813,307.592,69.1869,37.7641,34.743,9.90036,25.7409,0.931496,8.43685,60.2276,7.72354,3.30099,2.33977,1.26961,0.195803,0.083685,0.11211848258972168,0.253048,1.35261,0.29164,0.705139,,,4.71365,-0.065489,-0.0339282,999,1.85379,-0.935315,0.452108,1.85379,0.935315,4.39719,253.6,3.6228571428571428,258,3.6857142857142855,,,,,,,,,,,,,,,,,,,"Dom Hamel","30153",687589
"Michael Petersen","MIA",1.14747,1.21614,0,4.53469,32.0175,0,0,1.63847,1.59622,33.3083,144.692,32.4972,18.2419,16.7825,4.90681,13.5431,1.55437,1.7246,30.6034,8.26912,3.65939,2.2597,1.32584,0.211507,0.0935995,0.11790741235017776,0.25109,1.38225,0.293783,0.709673,,,4.58778,-0.0662499,-0.0332469,999,3.3336,-2.06633,0.939774,3.3336,2.06633,3.74697,121.50000000000004,3.681818181818183,122,3.696969696969697,,,,,,,,,,,,,,,,,,,"Michael Petersen","20827",656848
"Jake Miller","CLE",0.876352,0.890337,0,4.63938,16.052,0,0,0.863955,0,15.6148,68.2799,15.9598,8.74915,8.04922,2.2011,6.0786,0.316601,0.802476,12.158,7.00758,3.50356,2.00013,1.26866,0.178061,0.0890247,0.0890362411737442,0.259936,1.41138,0.292491,0.701026,,,4.73244,-0.0688006,-0.0884526,999,1.44101,1.74273,1.21825,1.44101,-1.74273,3.37567,59.20000000000001,3.7000000000000006,61,3.8125,,,,,,,,,,,,,,,,,,,"Jake Miller","sa3018171",681313
"Jaden Woods","PIT",0.793497,0.841405,0,4.58924,14.9133,0,0,0.978348,0,15.4542,68.804,15.3022,8.56559,7.88034,1.92098,7.66285,0.402908,0.86715,12.6327,7.35687,4.46258,1.64857,1.11872,0.183605,0.111372,0.07223240286111832,0.253877,1.48601,0.292676,0.710184,,,4.77206,-0.0690301,-0.0916741,999,0.369256,1.75545,1.20238,0.369256,-1.75545,3.39683,50.400000000000006,3.3600000000000003,52,3.466666666666667,,,,,,,,,,,,,,,,,,,"Jaden Woods","sa3023064",692243
"Zach Brzykcy","MIA",0.595705,0.761316,0,4.86738,13.4652,0,0,1.06462,0.287437,13.4235,59.2299,13.111,7.89095,7.25968,1.95286,6.34817,0.261193,0.708465,12.3802,8.3005,4.25625,1.95019,1.30933,0.209019,0.107178,0.10184010118246078,0.251298,1.44964,0.294876,0.691666,,,4.75892,-0.0691045,-0.103368,999,1.8109,-0.946498,1.23087,1.8109,0.946498,3.35885,44.8,3.446153846153846,46,3.5384615384615383,,,,,,,,,,,,,,,,,,,"Zach Brzykcy","27783",694350
"Bobby Miller","LAD",0.934605,0.983827,0.00663926,4.60969,18.5695,0.408157,0,0.608258,0,21.4976,94.1855,20.7888,11.9683,11.0108,3.04691,9.62776,0.933533,1.2109,20.3672,8.52677,4.03068,2.11547,1.27559,0.216246,0.102221,0.1140245869755745,0.249426,1.41488,0.296031,0.705456,,,4.59536,-0.0698854,-0.104219,730.260009765625,2.77667,-0.708835,1.0997,2.77667,0.708835,3.53373,74.9,3.566666666666667,77,3.6666666666666665,,,,,,,,,,,,,,,,,,,"Bobby Miller","27483",676272
"Cade Winquest","NYY",1.26368,1.48411,0,4.32132,26.1857,0,0,2.3987,0,28.5886,124.939,29.0188,14.9204,13.7268,3.87102,11.1672,0.72662,1.56032,23.076,7.26457,3.51555,2.06641,1.21864,0.184698,0.0893809,0.09531684964895248,0.258608,1.40566,0.294938,0.726722,,,4.61662,-0.0707938,0.0157006,999,1.40232,-1.06975,1.03956,1.40232,1.06975,3.61392,105.00000000000003,3.6206896551724146,108,3.7241379310344827,,,,,,,,,,,,,,,,,,,"Cade Winquest","sa3020805",685464
