,TeamID,Team Name,ottoneu ID,FG MajorLeagueID,FG MinorLeagueID,Name,MLB Team,Position(s),Salary
230,197,St. CGT VI,18257,15873.0,sa709610,Sean Manaea,NYM,SP,5
231,197,St. CGT VI,38317,27562.0,sa3014440,Austin Wells,NYY,C,5
232,197,St. CGT VI,34843,25180.0,sa3006936,Daniel Schneemann,CLE,2B/SS/3B/OF,5
233,197,St. CGT VI,21156,16442.0,sa829141,Ryan O'Hearn,PIT,1B/OF,5
234,197,St. CGT VI,18465,15440.0,sa621603,Matthew Boyd,CHC,SP,5
235,197,St. CGT VI,19520,17170.0,sa738213,Gabe Speier,SEA,RP,5
236,197,St. CGT VI,23672,20039.0,sa969093,Adrian Morejon,SDP,RP,5
237,197,St. CGT VI,22004,18036.0,sa857694,Jake Cronenworth,SDP,1B/2B/SS,5
238,197,St. CGT VI,23639,19956.0,sa917920,Mickey Moniak,COL,OF,5
239,197,St. CGT VI,8550,7048.0,sa389855,Fernando Cruz,NYY,RP,4
240,197,St. CGT VI,37091,26477.0,sa1115496,Spencer Horwitz,PIT,1B,4
241,197,St. CGT VI,18644,15362.0,sa709024,Jeff Mcneil,ATH,2B/OF,3
242,197,St. CGT VI,44539,,sa3023363,Leo De Vries,ATH AA,SS,3
243,197,St. CGT VI,40155,30146.0,sa3018053,Jack Leiter,TEX,SP,3
244,197,St. CGT VI,38127,27506.0,sa3011918,Ha-seong Kim,ATL,2B/SS,3
245,197,St. CGT VI,18328,15112.0,sa737539,Ryan McMahon,NYY,3B,3
246,197,St. CGT VI,23705,19950.0,sa917114,Andres Gimenez,TOR,2B/SS,3
247,197,St. CGT VI,20421,17897.0,sa827423,Garrett Cleavinger,TBR,RP,3
248,197,St. CGT VI,26570,19608.0,sa3004268,Otto Lopez,MIA,2B/SS,3
249,197,St. CGT VI,45739,,sa3038253,Braden Montgomery,CHW AA,OF,3
250,197,St. CGT VI,42726,,sa3023381,Felnin Celesten,SEA A+,SS,2
251,236,Yoshi Teddy Bear,36668,25764.0,sa3011225,Bobby Witt Jr.,KCR,SS,48
252,236,Yoshi Teddy Bear,14982,11579.0,sa548033,Bryce Harper,PHI,1B,40
253,236,Yoshi Teddy Bear,18347,16478.0,sa709545,Kyle Schwarber,PHI,OF,39
254,236,Yoshi Teddy Bear,37806,26289.0,sa3011484,Gunnar Henderson,BAL,SS,35
255,236,Yoshi Teddy Bear,14934,11493.0,sa548155,Manny Machado,SDP,3B,28
256,236,Yoshi Teddy Bear,21052,18525.0,sa829000,Dylan Cease,TOR,SP,22
257,236,Yoshi Teddy Bear,23825,19326.0,sa873683,Bryan Reynolds,PIT,OF,20
258,236,Yoshi Teddy Bear,14294,10954.0,sa548447,Jacob DeGrom,TEX,SP,19
