,Name,OttoneuID,FG MajorLeagueID,FG MinorLeagueID,MLB Org,Position(s),Avg Salary,Median Salary,Min Salary,Max Salary,Last 10,Roster%
683,Daniel Espino,37812,,sa3011495,CLE ST,RP,$1.33,$1.00,$1,$2,$1.50,12.5
684,Christopher Morel,26080,21897.0,sa3003171,MIA,OF,$1.33,$1.00,$1,$2,$3.70,12.5
685,Richard Fitts,40989,30160.0,sa3018182,STL,SP,$1.33,$1.00,$1,$2,$1.70,12.5
686,Andrew Kittredge,27995,12828.0,sa577676,BAL,RP,$1.33,$1.00,$1,$2,$1.30,12.5
687,Rainiel Rodriguez,45018,,sa3023987,STL ST,C,$1.33,$1.00,$1,$2,$1.30,50.0
688,Mike Sirota,46289,,sa3042374,LAD ST,OF,$1.33,$1.00,$1,$2,$1.83,12.5
689,Aiva Arquette,47548,,sa3026235,MIA A+,SS,$1.33,$1.00,$1,$2,$2.67,12.5
690,Riley O'Brien,26531,20348.0,sa3004210,STL,RP,$1.30,$1.00,$1,$3,$1.10,41.667
691,Graham Ashcraft,37171,27552.0,sa918274,CIN,SP/RP,$1.29,$1.00,$1,$3,$1.40,29.167
692,J.P. Crawford,18272,15491.0,sa737507,SEA,SS,$1.29,$1.00,$1,$3,$1.40,29.167
693,Josh Bell,18152,13145.0,sa597768,MIN,1B,$1.25,$1.00,$1,$3,$1.00,33.333
694,Ryan Lambert,46047,,sa3025613,NYM ST,RP,$1.25,$1.00,$1,$2,$1.25,16.667
695,Caleb Bonemer,46397,,sa3067043,CHW ST,SS/3B,$1.20,$1.00,$1,$2,$1.20,41.667
696,Angel Zerpa,25903,22717.0,sa3002993,MIL,RP,$1.20,$1.00,$1,$2,$1.33,20.833
697,Jared Koenig,38641,27517.0,sa3014906,MIL,RP,$1.14,$1.00,$1,$2,$1.10,29.167
698,A.J. Ewing,44286,,sa3022963,NYM ST,OF,$1.00,$1.00,$1,$1,$1.00,8.333
699,Kevin Kelly,36825,25679.0,sa3009999,TBR,RP,$1.00,$1.00,$1,$1,$1.00,4.167
700,Anthony Kay,33684,20387.0,sa738470,CHW,SP/RP,$1.00,$1.00,$1,$1,$1.70,12.5
701,Craig Yoho,44315,33248.0,sa3023032,MIL,RP,$1.00,$1.00,$1,$1,$1.50,4.167
702,Hogan Harris,36808,21520.0,sa3009982,ATH,RP,$1.00,$1.00,$1,$1,$1.00,4.167
703,Brooks Raley,4970,10061.0,sa501562,NYM,RP,$1.00,$1.00,$1,$1,$1.00,20.833
704,Luis Rengifo,20291,19858.0,sa826671,MIL,2B/3B/OF,$1.00,$1.00,$1,$1,$1.70,20.833
705,Eduard Bazardo,22527,20997.0,sa873313,SEA,RP,$1.00,$1.00,$1,$1,$1.00,29.167
706,Amed Rosario,18303,15518.0,sa732115,NYY,2B/3B,$1.00,$1.00,$1,$1,$1.30,4.167
707,Theo Gillen,45771,,sa3025565,TBR ST,OF,$1.00,$1.00,$1,$1,$2.00,4.167
708,Joc Pederson,14895,11899.0,sa549081,TEX,Util,$1.00,$1.00,$1,$1,$1.80,20.833
709,Jake Mangum,37660,26202.0,sa3011255,PIT,OF,$1.00,$1.00,$1,$1,$2.30,4.167
710,Trevor McDonald,38056,26448.0,sa3011835,SFG,SP/RP,$1.00,$1.00,$1,$1,$1.00,4.167
711,Mitchell Parker,38689,27636.0,sa3014973,WSN,SP,$1.00,$1.00,$1,$1,$2.20,4.167
712,Drew Anderson,30833,15130.0,sa658613,DET,RP,$1.00,$1.00,$1,$1,$1.00,4.167
713,Ryan Zeferjahn,37622,25420.0,sa3011217,LAA,RP,$1.00,$1.00,$1,$1,$1.40,8.333
714,Joey Loperfido,40301,29630.0,sa3017050,HOU,OF,$1.00,$1.00,$1,$1,$1.80,8.333
715,Jurrangelo Cijntje,45990,,sa3028930,STL ST,SP,$1.00,$1.00,$1,$1,$1.50,4.167
716,Garrett Mitchell,38325,27555.0,sa3014438,MIL,OF,$1.00,$1.00,$1,$1,$1.70,12.5
717,Rece Hinds,37107,27493.0,sa1169587,CIN,OF,$1.00,$1.00,$1,$1,$2.70,4.167
718,James Outman,35094,24770.0,sa3007312,MIN,OF,$1.00,$1.00,$1,$1,$2.20,4.167
719,Rhys Hoskins,20350,16472.0,sa827179,CLE,1B,$1.00,$1.00,$1,$1,$3.20,4.167
720,Thomas Saggese,38402,27883.0,sa3014503,STL,2B/SS/3B,$1.00,$1.00,$1,$1,$1.70,4.167
721,Emerson Hancock,38315,27470.0,sa3014456,SEA,SP/RP,$1.00,$1.00,$1,$1,$1.90,4.167
722,Jake McCarthy,34921,21622.0,sa3007015,COL,OF,$1.00,$1.00,$1,$1,$1.90,12.5
723,Will Benson,23632,21853.0,sa917927,CIN,OF,$1.00,$1.00,$1,$1,$2.40,4.167
724,Jefferson Rojas,41322,,sa3018571,CHC ST,2B/SS,$1.00,$1.00,$1,$1,$1.00,8.333
725,Bennett Sousa,35941,21345.0,sa913181,HOU,RP,$1.00,$1.00,$1,$1,$1.40,12.5
726,Eloy Jimenez,21751,17484.0,sa830373,TOR,OF,$1.00,$1.00,$1,$1,$3.30,4.167
727,Andrew Nardi,37639,25942.0,sa3011234,MIA,RP,$1.00,$1.00,$1,$1,$1.40,4.167
728,T.J. Rumfield,40496,,sa3017330,COL ST,1B,$1.00,$1.00,$1,$1,$1.00,16.667
729,Nelson Velazquez,27081,23359.0,sa3005129,STL,OF,$1.00,$1.00,$1,$1,$2.20,8.333
730,Esmerlyn Valdez,39340,,sa3015768,PIT ST,OF,$1.00,$1.00,$1,$1,$1.00,20.833
731,Liam Hendriks,5778,3548.0,sa393300,FA,RP,$1.00,$1.00,$1,$1,$1.50,4.167
732,Matt Gage,20414,17381.0,sa827398,SFG,RP,$1.00,$1.00,$1,$1,$1.00,4.167
733,Kyle Karros,44012,33252.0,sa3022559,COL,3B,$1.00,$1.00,$1,$1,$1.60,8.333
734,Ryan Weiss,35319,,sa3007778,HOU ST,SP/RP,$1.00,$1.00,$1,$1,$1.00,4.167
735,Tyler Black,40267,29949.0,sa3017623,MIL,1B/OF,$1.00,$1.00,$1,$1,$3.00,4.167
736,Luinder Avila,34494,24452.0,sa3006507,KCR,SP/RP,$1.00,$1.00,$1,$1,$1.00,4.167
737,Joe Mack,40520,,sa3017374,MIA ST,C,$1.00,$1.00,$1,$1,$1.50,8.333
738,Tyler Freeman,26882,22532.0,sa3004755,COL,2B/OF,$1.00,$1.00,$1,$1,$1.60,8.333
739,Ke'Bryan Hayes,18548,18577.0,sa874730,CIN,3B,$1.00,$1.00,$1,$1,$1.10,4.167
740,Aaron Bummer,29222,16258.0,sa599349,ATL,RP,$1.00,$1.00,$1,$1,$1.30,4.167
741,Owen Murphy,42491,,sa3020330,ATL ST,SP,$1.00,$1.00,$1,$1,$1.50,4.167
742,Max Anderson,44020,,sa3022567,DET ST,2B/3B,$1.00,$1.00,$1,$1,$1.00,4.167
743,Kendry Chourio,46595,,sa3067545,KCR A,SP,$1.00,$1.00,$1,$1,$1.00,4.167
744,Troy Johnston,37458,26143.0,sa3010899,COL,1B/OF,$1.00,$1.00,$1,$1,$1.00,4.167
745,Bryan Baker,31488,19804.0,sa739000,TBR,RP,$1.00,$1.00,$1,$1,$1.00,20.833
746,Steven Cruz,26049,23165.0,sa3003140,KCR,RP,$1.00,$1.00,$1,$1,$1.00,4.167
747,Jared Triolo,36984,25807.0,sa3010272,PIT,1B/2B/SS/3B,$1.00,$1.00,$1,$1,$1.00,12.5
748,Dax Kilby,48019,,sa3069080,NYY A,Util,$1.00,$1.00,$1,$1,$1.00,4.167
749,Ryan Clifford,42354,,sa3020126,NYM ST,1B/OF,$1.00,$1.00,$1,$1,$1.80,4.167
750,Isaac Mattson,31933,20385.0,sa915667,PIT,RP,$1.00,$1.00,$1,$1,$1.00,4.167
751,Taylor Rogers,23675,13449.0,sa503168,MIN,RP,$1.00,$1.00,$1,$1,$1.10,8.333
752,Angel Martinez,36046,26540.0,sa3008762,CLE,2B/OF,$1.00,$1.00,$1,$1,$1.40,4.167
753,Orelvis Martinez,33667,25967.0,sa3010692,WSN,2B,$1.00,$1.00,$1,$1,$1.40,4.167
754,Kala'i Rosario,38849,,sa3015199,MIN ST,OF,$1.00,$1.00,$1,$1,$1.00,4.167
755,Ethan Conrad,47546,,sa3029266,,Util,$1.00,$1.00,$1,$1,$1.50,4.167
756,Kade Strowd,37762,26191.0,sa3011418,ARI,RP,$1.00,$1.00,$1,$1,$1.00,4.167
757,Luisangel Acuna,36048,26548.0,sa3008765,CHW,2B,$1.00,$1.00,$1,$1,$1.70,20.833
758,Robert Stephenson,18135,13594.0,sa597792,LAA,RP,$1.00,$1.00,$1,$1,$1.20,4.167
759,Miguel Amaya,32321,21693.0,sa917354,CHC,C,$1.00,$1.00,$1,$1,$1.40,4.167
760,Taijuan Walker,14646,11836.0,sa548165,PHI,SP/RP,$1.00,$1.00,$1,$1,$1.40,4.167
