FG ID,Team,W,L,QS,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,HBP,SO,WAR,ADP,POS,Ottoneu ID,Ottoneu Positions,Name
22872,TBR,3.126894,2.22146,1.3017224,40.858740000000004,2.932544,0.002824146,2.7599739999999997,54.91126,234.4538,48.50674,28.111420000000003,25.55848,7.718936,22.6241,3.151128,54.71938,0.21673779999999998,999.0,['RP'],26800,SP/RP,Yoendrys Gomez
22915,SEA,2.8222560000000003,2.87529,0.0,52.90256,0.0,0.09253259999999999,10.09882,54.2783,234.1802,52.07674,25.7785,23.71622,5.63369,19.557319999999997,2.9800320000000005,43.98434,-0.034331359999999984,999.0,['RP'],35132,RP,Carlos Vargas
22932,CHW,1.46264,1.5979160000000001,0.0,29.4054,0.0,0.0,1.220608,30.138840000000002,133.7218,26.13606,15.64566,14.17,3.5572239999999997,17.51472,1.470698,32.18482,-0.02380458,999.0,['RP'],27048,RP,Prelander Berroa
23055,NYM,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.18768,5.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.00485503,999.0,['RP'],26525,RP,Dedniel Nunez
23135,MIN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.24527,6.000000000000001,1.0,1.0,1.0,0.0,1.0,0.0,1.0,-0.00480194,999.0,['RP'],26040,RP,Eduardo Salazar
23150,NYY,0.995446,0.9812848,0.216504,14.04796,0.2960736,0.0008150999999999999,0.6088342,16.71622,72.5827,15.658679999999999,9.232386,8.381792,2.789694,6.9990760000000005,1.104754,15.25706,-0.0187924,999.0,['RP'],26047,SP/RP,Osvaldo Bido
23162,ATH,2.9179500000000003,2.0229619999999997,0.0,41.31528,0.0,0.0,2.163082,43.1475,192.52159999999998,38.40874,22.67988,20.73748,5.139896,24.90646,2.9353819999999997,44.626819999999995,-0.03183484,999.0,['RP'],27167,RP,Eduarniel Nunez
23165,KCR,2.3850540000000002,1.984808,0.0,41.36616,0.05744022,0.0,3.090442,42.172740000000005,181.1432,39.23056,21.7509,19.978839999999998,4.755596000000001,17.671419999999998,1.8985100000000001,38.33636,0.066453768,999.0,['RP'],26049,RP,Steven Cruz
23191,TOR,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.4767100000000006,15.0,4.0,2.0,2.0,1.0,1.0,0.0,3.0000000000000004,0.0236175,999.0,['SP'],33649,SP/RP,Michael Plassmeyer
23221,LAD,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.74442,12.000000000000002,3.0000000000000004,1.0,1.0,0.0,1.0,0.0,3.0000000000000004,0.042826399999999994,999.0,['SP'],35888,RP,Michael Grove
