Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mHR,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Trevor Megill ","MIL","RP",141.8300018310547,66,3.322815774455343,1.697207786882661,-3.804415335086536,5.34741205682623,6.563020283077698,1.627589215455302,6.733426648973098,"Trevor Megill","17722",656730
"Shota Imanaga ","CHC","SP",162.52999877929688,148,-10.87424000309415,-1.4403763502359568,5.037613313426354,-10.6131135943735,-17.890116634277213,23.25030562538793,6.731314634195672,"Shota Imanaga","33829",684007
"Matt Brash ","SEA","RP",740.5,63,4.111574807545856,-0.333641384154219,-4.449470113551405,6.96754771963662,6.2960110294768565,1.627589215455302,6.546520171452509,"Matt Brash","25756",666374
"David Peterson ","NYM","SP",490.3500061035156,163,-5.903619735725121,-15.355528871199825,5.097340607728655,-2.08550763944578,-18.24731563864207,23.25030562538793,6.349384093233117,"David Peterson","20302",656849
"Steven Matz ","TBR","SP",739.969970703125,136,-10.095367881426633,-9.733647766741639,4.323274873570811,-2.75326625722574,-18.259007031823202,23.25030562538793,6.336883218181087,"Steven Matz","13361",571927
"Zebby Matthews ","MIN","SP",346.5799865722656,101,-12.389500312520028,-10.384882220922387,4.7931295887489265,-0.323062763010148,-18.30431570770363,23.25030562538793,6.28843748659211,"Zebby Matthews","31827",805673
"Ryan Walker ","SFG","RP",152.85000610351562,63,3.0777990824235237,0.7827605372984688,-5.309543151504564,6.96754771963662,5.518564187854052,1.627589215455302,6.002307382316547,"Ryan Walker","20423",676254
"Will Vest ","DET","RP",507.989990234375,68,3.1415683274357815,0.8183033913352106,-5.202034021760419,6.15747988823142,4.915317585242,1.627589215455302,5.580034760488111,"Will Vest","19769",676684
"Bryce Miller ","SEA","SP",307.2799987792969,141,-11.53982163433729,-6.371151503318674,4.486529477997106,-5.75270660594228,-19.17715026560114,23.25030562538793,5.355170117996382,"Bryce Miller","29837",682243
"Gabe Speier ","SEA","RP",747.52001953125,58,1.9802541122889328,2.421820565440767,-5.417052281248709,5.34741205682623,4.332434453307221,1.627589215455302,5.172016568133767,"Gabe Speier","17170",642100
"José Alvarado ","PHI","RP",747.6900024414062,64,3.5040632214749077,-0.7730935819279442,-4.55697924329555,6.15747988823142,4.33147028448284,1.627589215455302,5.171341649956699,"Jose Alvarado","17780",621237
"Grant Taylor ","CHW","RP",494.75,91,2.607886274394299,-0.3578817858390298,-1.654232740203639,3.72727639401583,4.323048142367466,1.627589215455302,5.165446150475937,"Grant Taylor","33927",691799
"Ryan Helsley ","BAL","RP",86.25,64,2.4702874963525745,0.9015093002510874,-4.55697924329555,5.34741205682623,4.162229610134342,1.627589215455302,5.05287317791275,"Ryan Helsley","18138",664854
"Jeff Hoffman ","TOR","RP",101.62999725341797,63,2.0440233573011906,1.8991624587511562,-4.449470113551405,4.53734422542103,4.031059927921975,1.627589215455302,4.961054400364095,"Jeff Hoffman","17432",656546
"Kodai Senga ","NYM","SP",235.9199981689453,126,-9.274011825849987,-14.784037411408573,5.609402610880398,-1.13313059441534,-19.58177722079351,23.25030562538793,4.92252783737345,"Kodai Senga","31838",673540
"Grayson Rodriguez ","LAA","SP",294.1099853515625,113,-12.134596709065207,-11.022826176038206,5.937504547581047,-2.41391351704248,-19.63383185456485,23.25030562538793,4.866869075190598,"Grayson Rodriguez","24492",680570
"Drew Anderson ","DET","SP",999,82,-14.34376127234033,-13.561311497436577,5.247853389370455,2.91720856261064,-19.740010817795817,23.25030562538793,4.753338554752128,"Drew Anderson","15130",623454
"Ian Seymour ","TBR","SP",463.95001220703125,118,-13.579050461975864,-8.218530873341567,4.810649595077603,-2.75326625722574,-19.740197997465568,23.25030562538793,4.753138415245431,"Ian Seymour","27932",693855
